taxa	HCC118	HCC121	HCC108	HCC119	HCC111	HCC103	HCC126	HCC113	HCC117	HCC106	HCC120	HCC124	HCC122	HCC107	HCC109	HCC125	HCC115	HCC114	HCC102	combined	HCC110	HCC101	HCC116	HCC112	HCC105	HCC123	HCC104	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.01482	0	0.07431	0.01258	0.02725	0.2473	0.00712	0	0.00161	0.16541	0.01754	0.02642	0.0296	0.0258	0.01008	0	0.04974	0.01352	0.19287	0	0.06492	0.00637	0.06957	0.09455	0.00091	0	0.21771	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	0	0	0	0.00838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0	0	0.00561	0	0	0.01334	0	0	0	0.01935	0	0	0	0.07668	0.00328	0	2.4389	0.00277	0.0466	0	0	0.25094	1.69713	0	0.17831	0	0.01031	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	11.92871	3.96348	2.20501	42.23206	15.64367	0.01	2.75233	0.42023	29.97625	0	8.66418	0.0346	3.25674	2.73965	6.36308	5.58845	0.001	0.14937	0.01686	3.96348	14.7598	0.14541	0.00626	5.10069	0	0.05244	0	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	0	0	0.01903	0.00469	0	0.01567	0.00355	0	0.00046	0.00896	0.0039	0.00425	0.03558	0.00276	0.00853	0	0.00696	0.00348	0.03302	0	0.01336	0.01113	0.01966	0.00755	0.00221	0	0.01908	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A2	0	0	0.67201	0	0	0.02949	0	0	0	0.03659	0	0	0	0.37768	0.15626	0	0.03345	0.15162	0.04768	0	0.23671	0	0.0116	0	0.00078	0	0.01614	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia	0.00421	0	0	0.02201	0.01993	0.01192	0.01008	0	0.01463	0.01399	0	0.01214	0.02141	0.00306	0	0.03986	0.0152	0	0.00238	0	0.00346	0.00999	0.01027	0.0216	0.00905	0.03889	0	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii	1.60037	31.09701	0.87591	0.30782	2.19576	0.63984	5.46608	0	2.58775	0.29832	0.19599	9.45683	33.15142	1.93052	0.18905	17.30649	0	0.01683	0.70515	31.09701	0.19701	2.1089	0	0.46946	1.0386	11.45715	0.86386	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum_intestinale	12.80027	15.57242	21.77033	7.86533	5.94519	7.16623	7.46457	15.4118	5.85735	5.29313	5.69985	3.01125	14.36661	11.51081	4.36299	7.20768	4.01565	3.36974	9.71922	15.57242	6.27508	27.57965	3.12216	2.99983	21.2561	4.22609	13.39932	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0.51759	1.91111	0.62878	1.79065	2.52477	1.32734	1.02589	0.52308	1.30343	1.34067	0.34939	1.17466	1.70329	0.47955	0.60394	3.27291	1.80587	0.30872	0.56738	1.91111	1.24864	1.08349	1.37554	1.57027	1.81035	3.07763	0.52225	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis	0	0	0	0	0	0.01009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
